report_org,acronym,org_category,HRP,proj.code,implementing.org,imp.acronym,donor,fin.partner,state,State_Pcode,lga,lga_pcode,ward,ward_pcode,site_type,location,Latitude,Longitude,activity_type,activity,HRP_indicator,cash_for_work,desc_activity,unit,quantity,Month,activity_status,start_date,end_date,pop_group,ben_status,num_of_ben_targetted,girls_6_17,boys_6_17,men_18_59,women_18_59,total_beneficiaries,CBT_modality,cbt_condition,cbt_amount_pp_hh,cbt_delivery_mechanism,observations,reporting_month,date
Learning through Skills Acquisition Initiative,LETSAI,National NGO,Non HRP,0,Learning through Skills Acquisition Initiative,LETSAI,UN Women,UN Women,Borno,NG008,Gwoza,NG008011,Pulka Bokko,NG008011013,central primary school Damara,Damara,,,"Livelihoods, employment and income generation",Provide start up kit,"Number of people supported to establish or scale up small businesses (including micro finance, cash grants, start-up kit, voucher, technical support etc.)",No,50 women and girls were trained and empowered with start up kits,leave quantity blank,50,Februrary ,Completed,30/11/2017,15/12/2017,IDPs in HC,New Beneficiaries,50,38,0,0,12,50,,,,,50 women and girls were succesfully trained and supplied with start up kits,February,27/02/2022
Learning through Skills Acquisition Initiative,LETSAI,National NGO,Non HRP,0,Learning through Skills Acquisition Initiative,LETSAI,UN Women,UN Women,Borno,NG008,Gwoza,NG008011,Pulka Bokko,NG008011013,central primary school Damara,Damara,,,"Livelihoods, employment and income generation",Support/creation of VSLA groups,Number of people reached through creation/support of VSLA,No,50 women were trained on finanacial litracy and importance of VSLA,# of groups,2,Februrary ,Completed,30/11/2017,15/12/2017,IDPs in HC,New Beneficiaries,50,38,0,0,12,50,,,,,2 VSLA was succesfully created with a combinned total of 50 members(women and girls),February,27/02/2022
Zireenza Support Foundation,ZSF,National NGO,Non HRP,0,Zireenza Support Foundation,ZSF,Self-Funding,Self Funded,Adamawa,NG002,Mubi North,NG002014,Lokuwa,NG002014005,community center ,Lokuwa opposite AIA Academics ,10.342143,13.390064,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Ongoing,23/02/2022,31/03/2022,IDPs in HC,New Beneficiaries,20,5,5,0,5,15,,,,,,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1125,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Fufore,NG002002,,#N/A,Local government ,local governmnt,9.2284,12.7135,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2022,20/02/2022,Host Community (HC),Recurring Beneficiaries,15,0,0,12,3,15,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1126,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Gombi,NG002004,,#N/A,Local government ,local governmnt,10.1559,12.7368,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2023,20/02/2023,Host Community (HC),Recurring Beneficiaries,15,0,0,10,7,17,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1127,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Hong,NG002007,,#N/A,Local government ,local governmnt,10.2301,12.9263,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2024,20/02/2024,Host Community (HC),Recurring Beneficiaries,15,0,0,13,3,16,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1128,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Numan,NG002016,,#N/A,Local government ,local governmnt,9.4536,12.0318,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2025,20/02/2025,Host Community (HC),Recurring Beneficiaries,15,0,0,14,6,20,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1129,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Mayo-Belwa,NG002012,,#N/A,Local government ,local governmnt,9.0529,12.0575,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2026,20/02/2026,Host Community (HC),Recurring Beneficiaries,15,0,0,12,4,16,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1130,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Song,NG002018,,#N/A,Local government ,local governmnt,9.8547,12.6269,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,# trainings,one training of trainers and implementer,Februrary ,Completed,10/02/2027,20/02/2027,Host Community (HC),Recurring Beneficiaries,15,0,0,13,4,17,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1131,Christian Rural and Urban Development Association of Nigeria,CRUDAN,European Union ,EU,Adamawa,NG002,Maiha,NG002011,,,Local government ,local governmnt,10.82,13.11,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,Trained LG staff and community members on savings and Loans methodology ,,one training of trainers and implementer,Februrary ,Completed,10/02/2028,20/02/2028,Host Community (HC),Recurring Beneficiaries,15,0,0,11,4,15,,,,,these projects are fuded by Oxfam and Oxfam is not in the drop down. Add it please,February,27/02/2022
Catholic Relief Services,CRS,International NGO,Non HRP,0,,DDI,German Federal Ministry for Economic Cooperation and Development ,BMZ,Yobe,NG036,Gulani,NG036008,Tetteba,#N/A,Community centre,community,"11°43'39.9""E","10°48'41.2""N","Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training of beneficiaries and Starter Kits distribution for 6 different trades including Traditional cap making, Making of Local Pasta, Shoe making, Cosmetology, and Repair of Mobile Phones.",# trainings,1,Februrary ,Completed,17/01/2022,29/01/2022,"HC, IDPs & Returnees",New Beneficiaries,50,0,0,21,23,44,,,,,,February,27/02/2022
Catholic Relief Services,CRS,International NGO,Non HRP,0,,DDI,German Federal Ministry for Economic Cooperation and Development ,BMZ,Yobe,NG036,Gulani,NG036008,Njibulwa,#SPILL!,Community centre,community,"11°34'46.0""E","10°58'51.2""N","Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training of beneficiaries and Starter Kits distribution for 6 different trades including Traditional cap making, Making of Local Pasta, Shoe making, Cosmetology, and Repair of Mobile Phones.",# trainings,1,Februrary ,Completed,17/01/2022,29/01/2022,"HC, IDPs & Returnees",New Beneficiaries,50,0,0,26,28,54,,,,,,February,27/02/2022
Catholic Relief Services,CRS,International NGO,Non HRP,0,,DDI,German Federal Ministry for Economic Cooperation and Development ,BMZ,Yobe,NG036,Gulani,NG036008,Dokshi,#SPILL!,Community centre,community,"11°54'42.7""E","11°05'59.7""N","Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training of beneficiaries and Starter Kits distribution for 6 different trades including Traditional cap making, Making of Local Pasta, Shoe making, Cosmetology, and Repair of Mobile Phones.",# trainings,1,Februrary ,Completed,17/01/2022,29/01/2022,"HC, IDPs & Returnees",New Beneficiaries,50,0,0,32,20,52,,,,,,February,27/02/2022
Catholic Relief Services,CRS,International NGO,Non HRP,0,,DDI,German Federal Ministry for Economic Cooperation and Development ,BMZ,Yobe,NG036,Gujba,NG036007,Wagir,#SPILL!,Community centre,community,"11°48'26.8""E","11°20'57.7""N","Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training of beneficiaries and Starter Kits distribution for 6 different trades including Traditional cap making, Making of Local Pasta, Shoe making, Cosmetology, and Repair of Mobile Phones.",# trainings,1,Februrary ,Completed,17/01/2022,29/01/2022,"HC, IDPs & Returnees",New Beneficiaries,50,0,0,20,32,52,,,,,,February,27/02/2022
Catholic Relief Services,CRS,International NGO,Non HRP,0,,DDI,German Federal Ministry for Economic Cooperation and Development ,BMZ,Yobe,NG036,Gujba,NG036007,Gujba,#SPILL!,Community centre,Katarko Community,,,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training of beneficiaries and Starter Kits distribution for 6 different trades including Traditional cap making, Making of Local Pasta, Shoe making, Cosmetology, and Repair of Mobile Phones.",# trainings,1,Februrary ,Completed,17/01/2022,29/01/2022,"HC, IDPs & Returnees",New Beneficiaries,50,0,0,28,23,51,,,,,,February,27/02/2022
Catholic Relief Services,CRS,International NGO,Non HRP,0,,DDI,German Federal Ministry for Economic Cooperation and Development ,BMZ,Yobe,NG036,Gujba,NG036007,Gujba,#SPILL!,Community centre,community,"11°56'00.5""E","11°29'59.9""N","Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training of beneficiaries and Starter Kits distribution for 6 different trades including Traditional cap making, Making of Local Pasta, Shoe making, Cosmetology, and Repair of Mobile Phones.",# trainings,1,Februrary ,Completed,17/01/2022,29/01/2022,"HC, IDPs & Returnees",New Beneficiaries,50,0,0,23,24,47,,,,,,February,27/02/2022
Action Against Hunger,ACF,International NGO,HRP,0,Action Against Hunger,ACF,Department for International Development,DFID,Yobe,NG036,Nangere,,Dawasa,,Community leader's residence,,11.980042,10.949528,"Livelihoods, employment and income generation",Support Income generating activities,"Number of people supported to establish or scale up small businesses (including micro finance, cash grants, start-up kit, voucher, technical support etc.)",No,VSLA beneficiaries training on soap making and  distrbution of soap making starter pack,leave quantity blank,N/A,Februrary ,Completed,13/02/2022,14/02/2022,Host Community (HC),Recurring Beneficiaries,25,0,0,0,25,25,,,,,,February,27/02/2022
Action Against Hunger,ACF,International NGO,HRP,0,Action Against Hunger,ACF,Department for International Development,DFID,Yobe,NG036,Nangere,,"Alhajeri, kukuri and garin kadai",,Community leader's residence,,11.886812,10.853838,"Livelihoods, employment and income generation",Support Income generating activities,"Number of people supported to establish or scale up small businesses (including micro finance, cash grants, start-up kit, voucher, technical support etc.)",No,VSLA beneficiaries training on soap making and  distrbution of soap making starter pack,leave quantity blank,N/A,Februrary ,Completed,14/02/2022,15/02/2022,Host Community (HC),Recurring Beneficiaries,39,0,0,0,39,39,,,,,,February,27/02/2022
Action Against Hunger,ACF,International NGO,HRP,0,Action Against Hunger,ACF,Department for International Development,DFID,Yobe,NG036,Nangere,,Degubi,,Community leader's residence,,11.640437,10.945463,"Livelihoods, employment and income generation",Support Income generating activities,"Number of people supported to establish or scale up small businesses (including micro finance, cash grants, start-up kit, voucher, technical support etc.)",No,VSLA beneficiaries training on soap making and  distrbution of soap making starter pack,leave quantity blank,N/A,Februrary ,Completed,15/02/2022,16/02/2022,Host Community (HC),Recurring Beneficiaries,7,0,0,0,7,7,,,,,,February,27/02/2022
Street Child,SC,International NGO,Non HRP,0,Restoration of Hope Initiative,ROHI,Deutsche gesellschaft fur internationale Zusammenarbeit,GIZ,Adamawa,NG002,Mubi North,NG002014,Kolere,#SPILL!,Community,Kolere,,,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Completed,21/02/2022,25/02/2022,Host Community (HC),New Beneficiaries,71,0,0,2,68,70,,,,,,February,27/02/2022
Street Child,SC,International NGO,Non HRP,0,Restoration of Hope Initiative,ROHI,Deutsche gesellschaft fur internationale Zusammenarbeit,Deutsche ,Adamawa,NG002,Mubi North,NG002014,Yelwa,#SPILL!,Community,Yelwa,,,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Completed,21/02/2022,25/02/2022,Host Community (HC),New Beneficiaries,118,0,0,0,116,116,,,,,,February,27/02/2022
Street Child,SC,International NGO,Non HRP,0,Restoration of Hope Initiative,ROHI,Deutsche gesellschaft fur internationale Zusammenarbeit,GIZ,Adamawa,NG002,Mubi North,NG002014,Lokuwa,#SPILL!,Community,Shuware,,,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Completed,21/02/2022,25/02/2022,Host Community (HC),New Beneficiaries,87,0,0,1,85,86,,,,,,February,27/02/2022
Street Child,SC,International NGO,Non HRP,0,Restoration of Hope Initiative,ROHI,Deutsche gesellschaft fur internationale Zusammenarbeit,GIZ,Adamawa,NG002,Mubi North,NG002014,Lokuwa,#SPILL!,Community,Mubi 1,,,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Completed,21/02/2022,25/02/2022,Host Community (HC),New Beneficiaries,71,0,0,0,70,70,,,,,,February,27/02/2022
Street Child,SC,International NGO,Non HRP,0,Restoration of Hope Initiative,ROHI,Deutsche gesellschaft fur internationale Zusammenarbeit,GIZ,Adamawa,NG002,Mubi South,NG002015,Lamurde,#SPILL!,Community,Lamurde,,,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Completed,21/02/2022,25/02/2022,Host Community (HC),New Beneficiaries,77,0,0,2,75,77,,,,,,February,27/02/2022
Street Child,SC,International NGO,Non HRP,0,Restoration of Hope Initiative,ROHI,Deutsche gesellschaft fur internationale Zusammenarbeit,GIZ,Adamawa,NG002,Maiha,NG002011,Manjekin,#SPILL!,Community,Jalingo,,,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,# trainings,,Februrary ,Completed,21/02/2022,25/02/2022,Host Community (HC),New Beneficiaries,76,0,0,0,76,76,,,,,,February,27/02/2022
Action Against Hunger,ACF,International NGO,HRP,E4A,Action Against Hunger,ACF,European Union (EU-Borno Package),EU,Borno,NG008,Jere,NG008013,Old Maiduguri,NG008013011,Rental hall,Maiduguri,N/A,N/A,"Livelihoods, Employment and Income generation",SME training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Training of lead farmers on post-harvest handling and techniques,# trainings,N/A,March,Completed,02/09/2018,14/03/2022,Host Community (HC),Recurring Beneficiaries,382,0,0,232,150,382,,,,,,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,E4A,Action Against Hunger,ACF,European Union (EU-Borno Package),EU,Borno,NG008,Jere,NG008013,Old Maiduguri,NG008013011,Vocational Skill sTraining Centre,College of Agriculture and Mafoni,N/A,N/A,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Vocational skills training,# trainings,N/A,March,Ongoing,N/A,N/A,Host Community (HC),Recurring Beneficiaries,901,0,0,499,402,901,,,,,,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,E4A,Action Against Hunger,ACF,European Union (EU-Borno Package),EU,Borno,NG008,Jere,NG008013,Old Maiduguri,NG008013011,Community land,Farmer Field School,N 11?52’34’’     , E 13?10’3’’,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Cutural activities ,leave quantity blank,N/A,March,Ongoing,02/08/2018,14/03/2022,Host Community (HC),Recurring Beneficiaries,33,0,0,22,11,33,,,,,,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,E4A,Action Against Hunger,ACF,European Union (EU-Borno Package),EU,Borno,NG008,Jere,NG008013,Dusuma,NG008013004,Community land,Kirbiri,N 11?53’63,E 013?14’50,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Cutural activities ,leave quantity blank,N/A,March,Ongoing,03/01/2018,on-going,Host Community (HC),Recurring Beneficiaries,110,0,0,62,48,110,,,,,,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,BHA,Action Against Hunger,ACF,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Lamisula,NG008021010,Rental hall,Town,,,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training in business management , financial education &record keeping",leave quantity blank,,March,Completed,16/03/2022,23/03/2022,IDPs in HC,New Beneficiaries,7,0,0,0,7,7,Vouchers,Unconditional,60000,Smart card (chipped),,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,BHA,Action Against Hunger,ACF,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Maisandari,NG008021013,Rental hall,Town,,,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training in business management , financial education &record keeping",leave quantity blank,,March,Completed,16/03/2022,23/03/2022,IDPs in HC,New Beneficiaries,6,0,0,2,4,6,Vouchers,Unconditional,60000,Smart card (chipped),,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,BHA,Action Against Hunger,ACF,United States Agency for International Development,USAID,Borno,NG008,Jere,NG008013,Old Maiduguri,NG008013011,Rental hall,Town,,,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training in business management , financial education &record keeping",leave quantity blank,,March,Completed,16/03/2022,23/03/2022,IDPs in HC,New Beneficiaries,100,0,0,4,96,100,Vouchers,Unconditional,60000,Smart card (chipped),,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,BHA,Action Against Hunger,ACF,United States Agency for International Development,USAID,Borno,NG008,Jere,NG008013,Maimusari,NG008013007,Rental hall,Town,,,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training in business management , financial education &record keeping",leave quantity blank,,March,Completed,16/03/2022,23/03/2022,IDPs in HC,New Beneficiaries,7,0,0,1,6,7,Vouchers,Unconditional,60000,Smart card (chipped),,March,31/03/2022
Action Against Hunger,ACF,International NGO,HRP,BHA,Action Against Hunger,ACF,United States Agency for International Development,USAID,Borno,NG008,Monguno,NG008024,Monguno,NG008024007,community center,Community,12.67788333,13.61805333,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Training in business management , financial education &record keeping",leave quantity blank,,March,Completed,23/02/2022,02/01/2018,IDPs in HC,New Beneficiaries,582,0,0,308,268,576,Vouchers,Unconditional,60000,Smart card (chipped),,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Yola South,NG002021,Adarawo,NG002021001,Wuro Hausa,Wuro Hausa,12.2893,12.5966,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,17/03/2018,21/03/2018,IDPs in HC,New Beneficiaries,171,0,0,32,139,171,,,,,"Mildu community, the ward name is SS Vapura, Kindly make the changes please.",March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Yola South,NG002021,Bole Yolde Pate,NG002021003,Jacingo,Jacingo,9.0718,12.2044,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,17/03/2018,21/03/2018,IDPs in HC,New Beneficiaries,163,0,0,60,103,163,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Yola South,NG002021,Mbamba,NG002021006,Mbamba,Mbamba,11.2893,12.3056,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,17/03/2018,21/03/2018,IDPs in HC,New Beneficiaries,197,0,0,30,167,197,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Yola North,NG002020,Doubeli,NG002020003,Yakore,Yakore,9.1726,12.2451,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,17/03/2018,21/03/2018,IDPs in HC,New Beneficiaries,166,0,0,27,139,166,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Yola North,NG002020,Jambutu,NG002020005,Njabore,Njabore,9.174,12.2929,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,17/03/2018,21/03/2018,IDPs in HC,New Beneficiaries,187,0,0,53,134,187,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Mubi North,NG002014,Mayo Bani,NG002014006,Bolire,Bolire,10.4399,13.2405,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,17/03/2018,21/03/2018,IDPs in HC,New Beneficiaries,209,0,0,57,152,209,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Mubi North,NG002014,Yelwa,NG002014011,Kochifa B,Kochifa B,10.285,13.248,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,20/03/2018,21/03/2018,IDPs in HC,New Beneficiaries,190,0,0,31,159,190,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Mubi South,NG002015,Nassarawo,NG002015009,Tashan Gyella,Tashan Gyella,10.6914,13.1802,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,20/03/2018,22/03/2018,IDPs in HC,New Beneficiaries,205,0,0,68,137,205,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Mubi South,NG002015,Lamurde,NG002015006,Kabang,Kabang,10.1802,13.152,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,20/03/2018,22/03/2018,IDPs in HC,New Beneficiaries,173,0,0,24,149,173,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Michika,NG002013,Michika 2,NG002013007,Anguwan Cashew,Anguwan Cashew,10.6342,13.3898,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,20/03/2018,22/03/2018,IDPs in HC,New Beneficiaries,207,0,0,35,172,207,,,,,,March,31/03/2022
