report_org,acronym,org_category,HRP,proj.code,implementing.org,imp.acronym,donor,fin.partner,state,State_Pcode,lga,lga_pcode,ward,ward_pcode,site_type,location,Latitude,Longitude,activity_type,activity,HRP_indicator,cash_for_work,desc_activity,unit,quantity,Month,activity_status,start_date,end_date,pop_group,ben_status,num_of_ben_targetted,girls_6_17,boys_6_17,men_18_59,women_18_59,total_beneficiaries,CBT_modality,cbt_condition,cbt_amount_pp_hh,cbt_delivery_mechanism,observations,reporting_month,date
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Michika,NG002013,Ninkisi/Wuro Ngiki,NG002013008,Bapbula/Wanne,Bapbula/Wanne,10.6826,13.3863,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,20/03/2018,22/03/2018,IDPs in HC,New Beneficiaries,201,0,0,74,127,201,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Michika,NG002013,Jigalambu,NG002013004,tudunwada,tudunwada,10.5921,13.3473,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,21/03/2018,23/03/2018,IDPs in HC,New Beneficiaries,224,0,0,51,173,224,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Madagali,NG002010,Madagali,NG002010006,Vuragwadla,Vuragwadla,10.5405,13.3727,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,21/03/2018,23/03/2018,IDPs in HC,New Beneficiaries,317,0,0,107,210,317,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Madagali,NG002010,Gulak,NG002010003,Mildu,Mildu,10.4826,13.343,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,21/03/2018,23/03/2018,IDPs in HC,New Beneficiaries,130,0,0,40,90,130,,,,,,March,31/03/2022
Caritas Nigeria,Caritas,National NGO,HRP,1196027,Caritas Nigeria,Caritas,Office of the UN High Commissioner for Refugees,UNHCR,Adamawa,NG002,Madagali,NG002010,Hyambula,NG002010004,Hyambula,Hyambula,10.5339,13.2338,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Beneficiary Registration,# trainings,1,March,Completed,21/03/2018,23/03/2018,IDPs in HC,New Beneficiaries,90,0,0,25,65,90,,,,,,March,31/03/2022
Cooperazione Internazional,COOPI,International NGO,HRP,0,Cooperazione Internazional,COOPI,European Union ,EU,Yobe,NG036,Geidam,NG036006,Jororo,#SPILL!,Kalgeri PHC Health facility,,12.986983,11.966289,Basic infrastructure rehab/ construction ,Sanitation network/ system rehab/const,Number of basic community infrastructure rehabilitated and constructed,No,Construction of 1 blocks with 2 stances of VIP latrines at Health facility at Kalgeri shamekura/jororo ward in Geidam LGA,# of facilities/ units,,March,Completed,10/08/2017,31/03/2022,Host Community (HC),Recurring Beneficiaries,250,0,0,130,120,250,,,,,,March,31/03/2022
Cooperazione Internazional,COOPI,International NGO,Non HRP,0,Cooperazione Internazional,COOPI,European Union ,EU,Yobe,NG036,Geidam,NG036006,Jororo,#SPILL!,Kalgeri Primary school of Shamekura Ward,,12.879276,11.921186,Basic infrastructure rehab/ construction ,School/ classroom rehab/const,Number of basic community infrastructure rehabilitated and constructed,No,Rehabilitation of  1 block of 2 classrooms at Kalgeri Primary school of Shamekura Ward,# of facilities/ units,2,March,Ongoing,10/08/2017,31/03/2022,Host Community (HC),New Beneficiaries,150,75,75,0,0,150,,,,,,March,31/03/2022
Cooperazione Internazional,COOPI,International NGO,Non HRP,0,Cooperazione Internazional,COOPI,European Union ,EU,Yobe,NG036,Geidam,NG036006,Hausari,#SPILL!,Hausari Primary School ,,12.88797052,11.92644871,Basic infrastructure rehab/ construction ,School/ classroom rehab/const,Number of basic community infrastructure rehabilitated and constructed,No,Rehabilitation of 1 Block of 3 Classrooms and an office in Hausari Primary School ,# of facilities/ units,3,March,Ongoing,10/08/2017,31/03/2022,Host Community (HC),New Beneficiaries,150,75,75,0,0,150,,,,,,March,31/03/2022
Cooperazione Internazional,COOPI,International NGO,Non HRP,0,Cooperazione Internazional,COOPI,European Union ,EU,Yobe,NG036,Yunusari,NG036016,Mozogun,#SPILL!,Mozogun Primary School,,12.879276,11.921186,Basic infrastructure rehab/ construction ,School/ classroom rehab/const,Number of basic community infrastructure rehabilitated and constructed,No,Rehabilitation of 1 block of 3 classrooms with office at mozogun Primary School,# of facilities/ units,3,March,Ongoing,10/08/2017,31/03/2022,Host Community (HC),New Beneficiaries,150,75,75,0,0,150,,,,,,March,31/03/2022
Cooperazione Internazional,COOPI,International NGO,Non HRP,0,Cooperazione Internazional,COOPI,European Union ,EU,Yobe,NG036,Geidam,NG036006,Hausari,#SPILL!,Hausari Primary School ,,12.88797052,11.92644871,Basic infrastructure rehab/ construction ,School/ classroom rehab/const,Number of basic community infrastructure rehabilitated and constructed,No,Rehabilitation/Construction of an office in Hausari Primary School ,# of facilities/ units,1,March,Ongoing,10/08/2017,31/03/2022,Host Community (HC),New Beneficiaries,5,0,0,5,0,5,,,,,,March,31/03/2022
Cooperazione Internazional,COOPI,International NGO,Non HRP,0,Cooperazione Internazional,COOPI,European Union ,EU,Yobe,NG036,Geidam,NG036006,Jororo,#SPILL!,Kalgeri Primary school ,,12.879276,11.921186,Basic infrastructure rehab/ construction ,Sanitation network/ system rehab/const,Number of basic community infrastructure rehabilitated and constructed,No,Construction of 2 blocks at Kalgeri primary school with 4 stances of VIP latrines  ShameKura/Jororo ward ,# of facilities/ units,2,March,Ongoing,10/08/2017,31/03/2022,Host Community (HC),New Beneficiaries,5,0,0,5,0,5,,,,,,March,31/03/2022
INTERSOS Humanitarian Aid,INTERSOS,International NGO,HRP,BHA,INTERSOS Humanitarian Aid,INTERSOS,United States Agency for International Development,USAID,Borno,NG008,Bama,NG008003,Banki,#SPILL!,Community,Bama,,,"Livelihoods, Employment and Income generation",Provision of Cash-Grant,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,A total of 25 women survivors are selected to be trained on Bar soap making and Nose mask production ,leave quantity blank,,March,Ongoing,10/01/2017,31/08/2022,Host Community (HC),New Beneficiaries,50,0,0,0,50,50,,,,,,March,31/03/2022
INTERSOS Humanitarian Aid,INTERSOS,International NGO,HRP,BHA,INTERSOS Humanitarian Aid,INTERSOS,United States Agency for International Development,USAID,Borno,NG008,Monguno,NG008024,Monguno,#SPILL!,Community,Monguno,,,"Livelihoods, Employment and Income generation",Provision of Cash-Grant,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,A total of 25 women survivors are selected to be trained on Bar soap making and Nose mask production ,leave quantity blank,,March,Ongoing,10/01/2017,31/08/2022,Host Community (HC),New Beneficiaries,25,0,0,0,25,25,,,,,,March,31/03/2022
INTERSOS Humanitarian Aid,INTERSOS,International NGO,HRP,BHA,INTERSOS Humanitarian Aid,INTERSOS,United States Agency for International Development,USAID,Borno,NG008,Ngala,NG008025,Ngala,#SPILL!,Community,Ngala,,,"Livelihoods, Employment and Income generation",Provision of Cash-Grant,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,A total of 25 women survivors are selected to be trained on Bar soap making and Nose mask production ,leave quantity blank,,March,Ongoing,10/01/2017,31/08/2022,Host Community (HC),New Beneficiaries,25,0,0,0,25,25,,,,,,March,31/03/2022
International Organization for Migration,IOM,UN Agency,HRP,DP.2383,International Organization for Migration,IOM,Office of US Disaster Assistance,OFDA,Borno,NG008,Bama,NG008003,Shehuri,#SPILL!,Community Center,Community ,11.50966,13.69862,"Livelihoods, Employment and Income generation",Vocational skills training,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,"Project is aimed towards building capacity of already practicing carpenters in Bama LGA, Borno state. The beneficiaries consist of 24 males and 6 females who will receive a refresher training on Carpentry and receive startup kits. ",# trainings,30,March,Ongoing,24/03/2022,20/04/2022,Mixed (15 IDPs'& 15 HC),New Beneficiaries,30,0,0,24,6,30,,,,,,March,31/03/2022
LABDI,LABDI,National NGO,Non HRP,Self Funded,LABDI,LABDI,Others,Self Funded,Borno,NG008,Maiduguri,NG008021,Fariya,,IDP Camp,Fariya community,,,"Livelihoods, employment and income generation",Provide start up kit,,No,Cap making materials were distributed to pregnant women and lactating mothers,,,March,Completed,24/03/2022,24/03/2022,IDPs in HC,New Beneficiaries,10,0,0,0,10,10,,,,,,March,31/03/2022
Learning through Skills Acquisition Initiative,LETSAI,National NGO,HRP,LTS/ACG/UNI/00123081,Learning through Skills Acquisition Initiative,LETSAI,Others,Others,Borno,NG008,Dikwa,NG008008,Dikwa,NG008008002,,Dikwa,,,"Livelihoods, Employment and Income generation",Provide start up kit,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,leave quantity blank,,March,Ongoing,28/03/2018,19/03/2019,IDPs in HC,New Beneficiaries,25,15,0,0,10,25,,,,,,March,31/03/2022
Learning through Skills Acquisition Initiative,LETSAI,National NGO,HRP,LTS/ACG/UNI/00123081,Learning through Skills Acquisition Initiative,LETSAI,Others,Others,Borno,NG008,Shani,NG008027,Shani,NG008027010,,Shani,,,"Livelihoods, Employment and Income generation",Provide start up kit,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,,leave quantity blank,,March,Ongoing,28/03/2018,19/03/2019,IDPs in HC,New Beneficiaries,25,13,0,0,12,25,,,,,,March,31/03/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1125',Christian Rural and Urban Development Association of Nigeria,CRUDAN,OXFAM International,OXFAM,Adamawa,NG002,Fufore,NG002002,Ribadu,#SPILL!,community,community,9.2284,12.7135,Governance restoration/ government capacity building,Training/capacity building to LGAs and/or CSOs staff to enhance governance,Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,,# trainings,,March,Completed,28/02/2018,03/03/2018,Host Community (HC),New Beneficiaries,60,0,0,44,15,59,,,,,this activity was conducted for CSOs in Adamawa state working on influencing of government decisions ,March,31/03/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1125',Christian Rural and Urban Development Association of Nigeria,CRUDAN,OXFAM International,OXFAM,Adamawa,NG002,Song,NG002018,Song Gari,#SPILL!,LG Secretariat,LG Secretariat,9.8547,12.6269,Governance restoration/ government capacity building,"Training to LGAs staff for delivery of basic services (e.g health, education)",Number of LGA and CSO staff supported with capacity building and equipment to enhance governance and service delivery,No,,# trainings,,March,Completed,14/03/2018,22/03/2018,Host Community (HC),Recurring Beneficiaries,10,0,0,18,9,27,,,,,"this activity took place in Song, Fufore while that of Gombi is yet to be delivered ",March,31/03/2022
OXFAM International,OXFAM Int,National NGO,Non HRP,A-06770-04-01-EFW1125',Christian Rural and Urban Development Association of Nigeria,CRUDAN,OXFAM International,OXFAM,Adamawa,NG002,Guyuk,NG002006,Bodeno,#SPILL!,community,community,9.905556,11.928333,"Livelihoods, Employment and Income generation",Support/creation of VSLA groups,Number of people reached through creation/support of VSLA,No,,# of groups,,March,Ongoing,08/11/2012,29/11/2018,Host Community (HC),Recurring Beneficiaries,35000,0,0,35000,25000,60000,,,,,this activity is a continous creation of savings goups acoss intervention commuities ,March,31/03/2022
Plan International,PLAN,International NGO,Non HRP,0,Plan International,PLAN,European Union ,EU,Borno,NG008,Mafa,NG008019,Mafa,#SPILL!,Community,Kaleri,12.664,12.1019,"Social cohesion, community reconciliation/security",Other social cohesion activities/initiatives/dialogues,"Number of people benefitting from social cohesion, community reconciliation and security and peace building efforts",No,Map Base Platform Training,# of activities,,March,Completed,02/01/2018,02/03/2018,Host Community (HC),Recurring Beneficiaries,10,0,0,5,5,10,,,,,,March,31/03/2022
Plan International,PLAN,International NGO,Non HRP,0,Plan International,PLAN,European Union ,EU,Borno,NG008,Mafa,NG008019,Mafa,#SPILL!,Community,Kaleri,12.664,12.1019,"Social cohesion, community reconciliation/security",Other social cohesion activities/initiatives/dialogues,"Number of people benefitting from social cohesion, community reconciliation and security and peace building efforts",No,Map Base Platform Stepdown Training ,# of activities,,March,Completed,02/08/2018,02/09/2018,Host Community (HC),Recurring Beneficiaries,50,0,0,25,25,50,,,,,,March,31/03/2022
Plan International,PLAN,International NGO,Non HRP,0,Plan International,PLAN,European Union ,EU,Borno,NG008,Mafa,NG008019,Mafa,#SPILL!,Community,Kaleri,12.664,12.1019,"Social cohesion, community reconciliation/security",Other social cohesion activities/initiatives/dialogues,"Number of people benefitting from social cohesion, community reconciliation and security and peace building efforts",No,International women Day Celebration,# of activities,,March,Completed,02/08/2018,02/08/2018,Host Community (HC),Recurring Beneficiaries,50,0,0,25,25,50,,,,,,March,31/03/2022
Plan International,PLAN,International NGO,Non HRP,0,Plan International,PLAN,European Union ,EU,Borno,NG008,Mafa,NG008019,Mafa,#SPILL!,Community,Kaleri,12.664,12.1019,"Social cohesion, community reconciliation/security",Other social cohesion activities/initiatives/dialogues,"Number of people benefitting from social cohesion, community reconciliation and security and peace building efforts",No,One day Safeguarding workshop ,# of activities,,March,Completed,16/03/2022,16/03/2022,Host Community (HC),Recurring Beneficiaries,20,0,0,8,12,20,,,,,,March,31/03/2022
Plan International,PLAN,International NGO,Non HRP,0,Plan International,PLAN,European Union ,EU,Borno,NG008,Mafa,NG008019,Mafa,#SPILL!,Community,Kaleri,12.664,12.1019,"Social cohesion, community reconciliation/security",Other social cohesion activities/initiatives/dialogues,"Number of people benefitting from social cohesion, community reconciliation and security and peace building efforts",No,Facilitate Youth Establish Evidence Base Advocacy through a bottom-up approach,# of activities,,March,Completed,21/03/2022,25/03/2022,Host Community (HC),Recurring Beneficiaries,30,0,0,15,15,30,,,,,,March,31/03/2022
Plan International,PLAN,International NGO,Non HRP,0,Plan International,PLAN,European Union ,EU,Borno,NG008,Mafa,NG008019,Mafa,#SPILL!,Community,Kaleri,12.664,12.1019,"Social cohesion, community reconciliation/security",Other social cohesion activities/initiatives/dialogues,"Number of people benefitting from social cohesion, community reconciliation and security and peace building efforts",No,Stepdown Training on Facilitate Youth Establish Evidence Base Advocacy through ,# of activities,,March,Completed,28/03/2022,30/03/2022,Host Community (HC),Recurring Beneficiaries,50,0,0,25,25,50,,,,,,March,31/03/2022
Plan International,PLAN,International NGO,Non HRP,0,Plan International,PLAN,European Union ,EU,Borno,NG008,Mafa,NG008019,Mafa,#SPILL!,Community,Kaleri,12.664,12.1019,"Livelihoods, Employment and Income generation",Support/creation of VSLA groups,Number of people reached through creation/support of VSLA,No,Monthly YSLA Meetings,# of groups,,March,Completed,02/01/2018,31/03/2022,Host Community (HC),Recurring Beneficiaries,76,0,0,29,47,76,,,,,,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 2,"Maiduguri, Bolori II ward",13°7'50'',115°53'2'',"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,1865,670,704,287,316,1977,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 3,"Maiduguri, Bolori II ward",13°8'51'',"11°53'22"" ","Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,1555,458,437,160,195,1250,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 5,"Maiduguri, Bolori II ward","11°48'32""","13°10'1""","Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,909,294,282,96,113,785,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 6,"Maiduguri, Bolori II ward",13.14218,11.86357,"Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,935,326,298,158,153,935,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 7,"Maiduguri, Bolori II ward","11°52'54""","13°8'33""","Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,634,155,160,55,69,439,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 8,"Maiduguri, Bolori II ward","13°8'59""","11°52'52""","Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,737,217,202,79,85,583,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 9,"Maiduguri, Bolori II ward","13°9'20""","11°52'34""","Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,854,223,242,93,100,658,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 10,"Maiduguri, Bolori II ward","13°8'29""","11°52'47""","Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,840,269,233,83,102,687,,,,,None,March,31/03/2022
Première Urgence Internationale,PUI,International NGO,HRP,21057,Première Urgence Internationale,PUI,United States Agency for International Development,USAID,Borno,NG008,Maiduguri,NG008021,Bolori II,#SPILL!,Bolori 11,"Maiduguri, Bolori II ward","13°8'19""","11°52'46""","Livelihoods, Employment and Income generation",Support Income generating activities,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Technical support and supervision of IGAs,leave quantity blank,,March,Ongoing,28/02/2018,13/06/2018,IDPs in HC,Recurring Beneficiaries,871,209,179,79,95,562,,,,,None,March,31/03/2022
Zireenza Support Foundation,ZSF,National NGO,Non HRP,0,Zireenza Support Foundation,ZSF,Self-Funding,Self Funded,Adamawa,NG002,Michika,NG002013,Wambilimi/Tili,#SPILL!,Civic Centre,Kasuwan Naira,10.60149,13.38221,"Livelihoods, Employment and Income generation","Community awareness training (this involves GBV, environmental safety etc)",Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Capacity buiding on GBV/CP and Hygiene promotion.,# trainings,,March,Completed,29/03/2022,30/03/2022,Returnees,Recurring Beneficiaries,60,15,20,10,15,60,,,,,They wish more capacity building in those thematic areas,March,31/03/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Adamawa,NG002,Yola North,NG002020,Limawa,#SPILL!,Peace dialogue,Jimeta-Yola,,,"Social cohesion, community reconciliation/security",Conduct community dialogues,Number of communities participating in social cohesion or community security activities,No,Community peace dialogue,# of dialogues/meetings,1,January,Completed,31/12/2017,30/01/2018,Host Community (HC),New Beneficiaries,300,0,0,150,150,300,,,,,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Borno,NG008,Maiduguri,NG008021,Maisandari,#SPILL!,Vocational Training,Maiduguri,11.837508,13.13515,Skills training,Vocational skills training,"Number of people receiving skills training (Vocational, Income Generating Activities training, etc)",No,Vocational skills training,# trainings,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,250,0,0,150,100,250,Cash,Conditional ,"N200,000",Bank transfer payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Adamawa,NG002,Yola North,NG002020,Limawa,#SPILL!,Vocational Training,Jimeta-Yola,,,Skills training,Vocational skills training,"Number of people receiving skills training (Vocational, Income Generating Activities training, etc)",No,Vocational skills training,# trainings,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,125,0,0,75,50,125,Cash,Conditional ,"N200,000",Bank transfer payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Yobe,NG036,Damaturu,NG036003,Damaturu Central,#SPILL!,Vocational Training,Damaturu,,,Skills training,Vocational skills training,"Number of people receiving skills training (Vocational, Income Generating Activities training, etc)",No,Vocational skills training,# trainings,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,125,0,0,75,50,125,Cash,Conditional ,"N200,000",Bank transfer payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,125993,UN Development Programme,UNDP,Gov. of Japan,Japan,Borno,NG008,Gwoza,NG008011,Pulka,,Dam rehabilitation,,11.2195,13.78249,"Livelihoods, Employment and Income generation",Cash for Work,Number of people employed through Cash for Work activities,Yes,Rehabilitation of Pulka Water Dam,# of facilities/ units,1,January,Completed,31/01/2016,30/08/2017,Host Community (HC),New Beneficiaries,3000,0,0,101,559,660,Cash,Conditional ,N150000,Direct cash payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,125993,UN Development Programme,UNDP,Gov. of Japan,Japan,Yobe,NG036,Fune,NG036005,Daura,,Reh of primary health centre,,,,"Livelihoods, Employment and Income generation",Cash for Work,Number of people employed through Cash for Work activities,Yes,Rehabilitation of primary health centre,# of facilities/ units,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,2000,500,500,850,150,2000,Cash,Conditional ,N60000,Direct cash payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Adamawa,NG002,Hong,NG002007,Uba,,Reh of secondary school,,10.45374,13.22208,"Livelihoods, Employment and Income generation",Cash for Work,Number of people employed through Cash for Work activities,Yes,Rehabilitation of secondary school,# of facilities/ units,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,1000,0,0,189,31,220,Cash,Conditional ,N60000,Direct cash payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Adamawa,NG002,Yola North,NG002020,Limawa,,,Jimeta-Yola,,,"Social cohesion, community reconciliation/security",Conduct community dialogues,Number of communities participating in social cohesion or community security activities,No,Community peace dialogue,# of dialogues/meetings,1,January,Completed,31/12/2017,30/01/2018,Host Community (HC),New Beneficiaries,300,0,0,150,150,300,,,,,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Borno,NG008,Maiduguri,NG008021,Maisandari,,,Maiduguri,11.837508,13.13515,Skills training,Vocational skills training,"Number of people receiving skills training (Vocational, Income Generating Activities training, etc)",No,Vocational skills training,# trainings,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,250,0,0,150,100,250,Cash,Conditional ,"N200,000",Bank transfer payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Adamawa,NG002,Yola North,NG002020,Limawa,,,Jimeta-Yola,,,Skills training,Vocational skills training,"Number of people receiving skills training (Vocational, Income Generating Activities training, etc)",No,Vocational skills training,# trainings,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,125,0,0,75,50,125,Cash,Conditional ,"N200,000",Bank transfer payment,,January,31/01/2022
UN Development Programme,UNDP,UN Agency,Non HRP,120365,UN Development Programme,UNDP,Gov. of Japan,Japan,Yobe,NG036,Damaturu,NG036003,Damaturu Central,,,Damaturu,,,Skills training,Vocational skills training,"Number of people receiving skills training (Vocational, Income Generating Activities training, etc)",No,Vocational skills training,# trainings,1,January,Completed,30/09/2017,30/01/2018,Host Community (HC),New Beneficiaries,125,0,0,75,50,125,Cash,Conditional ,"N200,000",Bank transfer payment,,January,31/01/2022
Norwegian Refugee Council,NRC,International NGO,Non HRP,NGFM 1819,Norwegian Refugee Council,NRC,Others,AFD,Adamawa,NG002,Yola South,NG002021,,#N/A,"Wuro Jabbe, Jaccingo, Rumde Shamaki, Fombina Dutse, Sangere Dutse  ","Wuro Jabbe, Jaccingo, Rumde Shamaki, Fombina Dutse, Sangere Dutse  ",9.26057 N,12.39841 E,"Livelihoods, Employment and Income generation",Provision of Cash-Conditional,Number of people benefitting from vocational skills training and/or support to establish small scale business,No,Cash Grant Distribution for business start up ,leave quantity blank,,January,Completed,01/01/2018,01/04/2018,IDPs in HC,New Beneficiaries,1000,0,0,287,713,1000,Cash,Conditional ,45000,Bank transfer payment,,January,31/01/2022
Zireenza Support Foundation,ZSF,National NGO,Non HRP,0,Zireenza Support Foundation,ZSF,Self-Funding,Self Funded,Adamawa,NG002,Mubi South,NG002015,Nassarawo,#SPILL!,Sandy factory,kwacham,10.1536,13.1658,Skills training,"Community awareness training (this involves GBV, environmental safety etc)","Number of people receiving skills training (Vocational, Income Generating Activities training, etc)",No,we carried sensitization on hygiene measures among the less privilage children (Almajiri),# trainings,,January,Ongoing,12/01/2018,13/01/2018,IDPs in HC,New Beneficiaries,20,5,32,1,1,39,,,,,,January,31/01/2022
